INSTANCE;SEMILLA;Z;TIME
A173-P150-R5-B8-L5-T14-C0.2;5877;52;4
A173-P150-R5-B8-L5-T14-C0.2;2829;52;4
A173-P150-R5-B8-L5-T14-C0.2;2339;52;5
A173-P150-R5-B8-L5-T14-C0.2;9845;52;4
A173-P150-R5-B8-L5-T14-C0.2;233;52;5
A173-P150-R5-B8-L5-T14-C0.2;4263;52;5
A173-P150-R5-B8-L5-T14-C0.2;2618;52;4
A173-P150-R5-B8-L5-T14-C0.2;9965;52;5
A173-P150-R5-B8-L5-T14-C0.2;1624;52;5
A173-P150-R5-B8-L5-T14-C0.2;5707;52;4
A173-P150-R5-B8-L5-T14-C0.2;2842;52;4
A173-P150-R5-B8-L5-T14-C0.2;130;52;4
A173-P150-R5-B8-L5-T14-C0.2;252;52;4
A173-P150-R5-B8-L5-T14-C0.2;9914;52;4
A173-P150-R5-B8-L5-T14-C0.2;8323;52;4
A173-P150-R5-B8-L5-T14-C0.2;9375;52;4
A173-P150-R5-B8-L5-T14-C0.2;4363;52;5
A173-P150-R5-B8-L5-T14-C0.2;2499;52;4
A173-P150-R5-B8-L5-T14-C0.2;2877;52;5
A173-P150-R5-B8-L5-T14-C0.2;5989;52;4
A173-P150-R5-B8-L5-T14-C0.2;1850;52;4
A173-P150-R5-B8-L5-T14-C0.2;5917;52;4
A173-P150-R5-B8-L5-T14-C0.2;7847;52;4
A173-P150-R5-B8-L5-T14-C0.3;8355;15064;4
A173-P150-R5-B8-L5-T14-C0.3;3717;15064;5
A173-P150-R5-B8-L5-T14-C0.3;5877;10064;6
A173-P150-R5-B8-L5-T14-C0.3;2829;10064;6
A173-P150-R5-B8-L5-T14-C0.3;2339;15064;4
A173-P150-R5-B8-L5-T14-C0.3;9845;15064;6
A173-P150-R5-B8-L5-T14-C0.3;233;10066;8
A173-P150-R5-B8-L5-T14-C0.3;4263;10064;5
A173-P150-R5-B8-L5-T14-C0.3;2618;10065;4
A173-P150-R5-B8-L5-T14-C0.3;9965;15064;4
A173-P150-R5-B8-L5-T14-C0.3;1624;10064;5
A173-P150-R5-B8-L5-T14-C0.3;5707;10064;6
A173-P150-R5-B8-L5-T14-C0.3;2842;10065;4
A173-P150-R5-B8-L5-T14-C0.3;130;15068;4
A173-P150-R5-B8-L5-T14-C0.3;252;15064;4
A173-P150-R5-B8-L5-T14-C0.3;9914;10067;4
A173-P150-R5-B8-L5-T14-C0.3;8323;15064;4
A173-P150-R5-B8-L5-T14-C0.3;9375;10064;4
A173-P150-R5-B8-L5-T14-C0.3;4363;10064;4
A173-P150-R5-B8-L5-T14-C0.3;2499;15064;6
A173-P150-R5-B8-L5-T14-C0.3;2877;15066;4
A173-P150-R5-B8-L5-T14-C0.3;5989;10065;4
A173-P150-R5-B8-L5-T14-C0.3;1850;15065;4
A173-P150-R5-B8-L5-T14-C0.3;5917;10064;4
A173-P150-R5-B8-L5-T14-C0.3;7847;10065;4
A173-P150-R6-B7-L5-T14-C0.1;8355;37;8
A173-P150-R6-B7-L5-T14-C0.1;3717;37;6
A173-P150-R6-B7-L5-T14-C0.1;5877;37;7
A173-P150-R6-B7-L5-T14-C0.1;2829;37;6
A173-P150-R6-B7-L5-T14-C0.1;2339;37;7
A173-P150-R6-B7-L5-T14-C0.1;9845;37;7
A173-P150-R6-B7-L5-T14-C0.1;233;37;7
